2016-09-23_14:57:34.387 [main] INFO  c.a.s.e.ContextStartEventHandler [ContextStartEventHandler.java:23]- :=> ContextStartedEvent Received
2016-09-23_14:57:34.503 [main] INFO  c.a.spring.service.MyServiceImpl [MyServiceImpl.java:22]- :=> Your Message : WELCOME ADARSH KUMAR SINGH
2016-09-23_14:57:34.639 [main] INFO  c.a.s.e.ContextStoppedEventHandler [ContextStoppedEventHandler.java:24]- :=> ContextStoppedEvent Received
2016-09-23_14:58:50.700 [main] INFO  c.a.s.e.ContextRefreshedHandler [ContextRefreshedHandler.java:21]- :=> ContextRefreshedEvent Received
2016-09-23_14:58:50.707 [main] INFO  c.a.s.e.ContextStartEventHandler [ContextStartEventHandler.java:23]- :=> ContextStartedEvent Received
2016-09-23_14:58:50.708 [main] INFO  c.a.spring.service.MyServiceImpl [MyServiceImpl.java:22]- :=> Your Message : WELCOME ADARSH KUMAR SINGH
2016-09-23_14:58:50.861 [main] INFO  c.a.s.e.ContextRefreshedHandler [ContextRefreshedHandler.java:21]- :=> ContextRefreshedEvent Received
2016-09-23_14:58:50.862 [main] INFO  c.a.s.e.ContextStoppedEventHandler [ContextStoppedEventHandler.java:24]- :=> ContextStoppedEvent Received
2016-09-23_15:04:17.182 [main] INFO  c.e.a.e.ContextRefreshedHandler [ContextRefreshedHandler.java:21]- :=> ContextRefreshedEvent Received
2016-09-23_15:04:47.764 [main] INFO  c.e.a.e.ContextRefreshedHandler [ContextRefreshedHandler.java:21]- :=> ContextRefreshedEvent Received
2016-09-23_15:04:47.769 [main] INFO  c.e.adarsh.service.MyServiceImpl [MyServiceImpl.java:20]- :=> Your Message : null
2016-09-23_15:05:40.638 [main] INFO  c.e.a.e.ContextRefreshedHandler [ContextRefreshedHandler.java:21]- :=> ContextRefreshedEvent Received
2016-09-23_15:05:40.643 [main] INFO  c.e.adarsh.service.MyServiceImpl [MyServiceImpl.java:22]- :=> Your Message : WELCOME ADARSH KUMAR SINGH
2016-09-23_15:10:53.143 [main] INFO  c.e.a.e.ContextRefreshedHandler [ContextRefreshedHandler.java:21]- :=> ContextRefreshedEvent Received
2016-09-23_15:10:53.152 [main] INFO  c.e.adarsh.service.MyServiceImpl [MyServiceImpl.java:22]- :=> Your Message : WELCOME ADARSH KUMAR SINGH
2016-09-23_15:11:18.529 [main] INFO  c.e.a.e.ContextRefreshedHandler [ContextRefreshedHandler.java:21]- :=> ContextRefreshedEvent Received
2016-09-23_15:11:18.536 [main] INFO  c.e.adarsh.service.MyServiceImpl [MyServiceImpl.java:22]- :=> Your Message : WELCOME ADARSH KUMAR SINGH
2016-09-23_15:11:18.537 [main] INFO  c.e.a.e.ContextStoppedEventHandler [ContextStoppedEventHandler.java:21]- :=> ContextStoppedEvent Received
2016-09-23_15:11:39.405 [main] INFO  c.e.a.e.ContextRefreshedHandler [ContextRefreshedHandler.java:21]- :=> ContextRefreshedEvent Received
2016-09-23_15:11:39.413 [main] INFO  c.e.a.e.ContextStartEventHandler [ContextStartEventHandler.java:21]- :=> ContextStartedEvent Received
2016-09-23_15:11:39.414 [main] INFO  c.e.adarsh.service.MyServiceImpl [MyServiceImpl.java:22]- :=> Your Message : WELCOME ADARSH KUMAR SINGH
2016-09-23_15:11:39.414 [main] INFO  c.e.a.e.ContextStoppedEventHandler [ContextStoppedEventHandler.java:21]- :=> ContextStoppedEvent Received
